election_date,election_year,election_month,election_day,prop_letter_or_num,prop_title,num_yes_votes,num_no_votes,pct_yes_votes,pct_no_votes,pct_required_to_pass,pass_or_fail,raw_source_of_prop,source_of_prop,prop_kind,description,prop_url
11/6/1984,1984,11,6,G,Police Probation for One  (1) Year after Training,205548,30850,87.0,13.0,50%+1,P,Supervisors,supervisors,Charter Amendment,Shall the probationary period for police officers be extended from one-year from entry to one year after completion of training but not to exceed eight-four weeks?,https://sfpl.org/index.php?pg=2000027201&propid=1302
11/6/1984,1984,11,6,H,"Premium Pay,  (2) Two - Wheel Motorcycle Policemen",139410,100579,58.1,41.9,50%+1,P,Supervisors,supervisors,Charter Amendment,"Shall additional rates of pay be paid to members of the Police Department assigned to all two-wheel motorcycle duty based on the average paid in California cities of 350,000 and over population?",https://sfpl.org/index.php?pg=2000027201&propid=1303
11/6/1984,1984,11,6,I,Military and Social Spending,108358,128153,45.8,54.2,50%+1,F,Initiative,initiative,Ordinance,Shall San Francisco request that the federal government question all taxpayers whether they wish any part of their taxes used for excessive military spending and have the city publish an annual report on federal taxes collected from San Francisco and the portions used for excessive military purposes and for social needs?,https://sfpl.org/index.php?pg=2000027201&propid=1304
11/6/1984,1984,11,6,J,No City Pension Funds to be Invested in South Africa,150948,91788,62.2,37.8,50%+1,P,Initiative,initiative,Policy Declaration,Shall it be the policy of San Francisco that no pension funds administered by the City be invested in business entities that do business in South Africa until apartheid is abolished and black people are given full political and civil rights in South Africa?,https://sfpl.org/index.php?pg=2000027201&propid=1305
11/5/1985,1985,11,5,A,"Disabled Persons, Employment",63436,36701,63.3,36.7,50%+1,P,Supervisors,supervisors,Charter Amendment,Shall severely disabled persons be exempted from civil service requirements for certain entry level positions in City service?,https://sfpl.org/index.php?pg=2000027201&propid=1306
11/5/1985,1985,11,5,C,"Police Drug Enforcement Fund, Remove $50,000 Maximum",59567,41665,58.8,41.2,50%+1,P,Supervisors,supervisors,Charter Amendment,"Shall the Board of Supervisors be authorized to appropriate more than $50,000 to the Police Department, to be used in the department's discretion to enforce narcotics laws?",https://sfpl.org/index.php?pg=2000027201&propid=1308
11/5/1985,1985,11,5,D,Mental Health Agencies Consolidation,57510,40359,58.7,41.3,50%+1,P,Supervisors,supervisors,Charter Amendment,"Shall the employees of the San Francisco office of the California Department of Mental Health, Office of Mental Health Social Services become city employees?",https://sfpl.org/index.php?pg=2000027201&propid=1309
11/5/1985,1985,11,5,E,Meal Allowance Repeal and Rescinding Reserve,71985,28925,71.3,28.7,50%+1,P,Mayor,mayor,Ordinance,"Shall the ordinance providing a meal allowance for certain City employees, or reserving funds to make similar payments, be repealed?",https://sfpl.org/index.php?pg=2000027201&propid=1310
11/5/1985,1985,11,5,F,"Highrise Ban for Three Years, Buildings Over 50,000 feet",41388,59455,41.0,59.0,50%+1,F,Initiative,initiative,Ordinance,"Shall the City and County deny any building permit for any hotel or office project exceeding 50,000 square fee for the next three years?",https://sfpl.org/index.php?pg=2000027201&propid=1311
6/3/1986,1986,6,3,A,Risk Management and Claims Investigation,76025,46335,62.1,37.9,50%+1,P,Supervisors,supervisors,Charter Amendment,"Shall the City establish an office of risk management and a bureau of claims and investigation and administration, to study and reduce the risk of lawsuits and judgments against the City?",https://sfpl.org/index.php?pg=2000027201&propid=1313
6/3/1986,1986,6,3,B,"Purchaser and Contracts, $50,000 Limit",60,59523,50.3,49.7,50%+1,P,Supervisors,supervisors,Charter Amendment,"Shall the Purchaser be authorized to enter into contracts for up to $50,000 without the Chief Administrative Officer's approval, and to permit his agents to sign contracts for him?",https://sfpl.org/index.php?pg=2000027201&propid=1314
6/3/1986,1986,6,3,D,Civil Service System under Personnel Department,34749,93838,27.0,73.0,50%+1,F,Initiative,initiative,Charter Amendment,Shall the City transfer the general administration of the civil service system from the Civil Service Commission to a Department of Personnel Administration that has power to change civil service rules now written into the Charter?,https://sfpl.org/index.php?pg=2000027201&propid=1316
6/3/1986,1986,6,3,E,Balboa Reservoir Development Ban,50048,72203,40.8,59.2,50%+1,F,Initiative,initiative,Ordinance,Shall the City deny or revoke any building permit for construction at Balboa Reservoir at Ocean and Phelan Avenues for the next three years?,https://sfpl.org/index.php?pg=2000027201&propid=1317
6/3/1986,1986,6,3,F,Compensated Advocacy and Campaign Limit of $500,67353,52326,56.3,43.7,50%+1,P,Initiative,initiative,Ordinance,"Shall the City prohibit compensated advocacy by city officers and state legislators before any city commission, and limit the amount any person may contribute to a candidate for municipal office to $500?",https://sfpl.org/index.php?pg=2000027201&propid=1318
6/3/1986,1986,6,3,G,South Africa Boycott,49343,67724,42.1,57.9,50%+1,F,Initiative,initiative,Policy Declaration,Shall it be the policy of the people of San Francisco to boycott businesses having the greatest ties with South African apartheid?,https://sfpl.org/index.php?pg=2000027201&propid=1319
6/3/1986,1986,6,3,H,AIDS Research and Education Council,71254,44012,61.8,38.2,50%+1,P,Initiative,initiative,Policy Declaration,Shall it be the policy of the people of San Francisco to call on all appropriate public and private organizations to establish and support an AIDS Research and Education Council?,https://sfpl.org/index.php?pg=2000027201&propid=1320
6/3/1986,1986,6,3,I,Embarcadero Freeway Demolition,41782,86527,32.1,67.9,50%+1,F,Initiative,initiative,Policy Declaration,Shall it be the policy of the people of San Francisco to tear down the Embarcadero Freeway?,https://sfpl.org/index.php?pg=2000027201&propid=1321
6/3/1986,1986,6,3,J,Embarcadero Freeway Policy,53310,75708,41.3,58.7,50%+1,F,Supervisors,supervisors,Policy Declaration,"Shall it be the policy of the people of San Francisco to replace part of the Embarcadero Freeway, if it would increase public access to the waterfront and improve traffic?",https://sfpl.org/index.php?pg=2000027201&propid=1322
11/4/1986,1986,11,4,A,"Bonds, Fire Protection Improvements $46,200,000",173883,21662,88.9,11.1,66 2/3%,P,Supervisors,supervisors,Bond Issue,"To incur a bonded indebtedness of $46,200,000 for the improvement of the fire protection system within the City and County of San Francisco.",https://sfpl.org/index.php?pg=2000027201&propid=1323
11/4/1986,1986,11,4,B,"Moscone Convention Center, Expand, Redevelopment Bonds $140,000,000",123384,76223,61.8,38.2,50%+1,P,Supervisors,supervisors,Revenue Bonds,"Shall the City construct additions to the Moscone Convention Center, to be financed by lease revenue bonds issued by the Redevelopment Agency in an amount no to exceed $140,000,000?",https://sfpl.org/index.php?pg=2000027201&propid=1324
